reviewerID,reviewText,normalized_overall
A2BVT5QJSEEQI8,THE RECIPES IN THIS BOOKS ARE TEDIOUS TO MAKE I FOUND THAT EASIER AND SIMPLER RECIPES CAN BE FOUND ONLINE I HAD NO PROBLEM WITH THE RECIPES ONLINE WORKING IN THE ZOKU MAKER,NOTPERFECT
A3R9X003XW0LNR,THIS BEAUTIFULLY ILLUSTRATED BOOK FEATURING TEN COLORFULGLITTERY BUTTERFLIES IS A FAVORITE AT OUR HOUSE THE NANABABIES LIKE TO COUNT THE BUTTERFLIES AS THEY FLIT OFF THE BOOK IS ALSO GOOD FOR LEARNING COLORS DISCUSSING THE ACTIVITIES THE BUTTERFLIES DO AND THE PLASTIC BUTTERFLIES ARE GREAT AS THE BABIES AND TODDLERS LIKE TO TOUCH THEM,PERFECT
AMZSUGQIAOH5O,I GOT THIS AS A GIFT FOR MY NIECE AND SHE LOVED IT ITS A SUPER CUTE BOOK AND ILL BE GETTING IT FOR ANY OTHER NIECES THAT MAY COME ALONG,PERFECT
A14BTJRH9VNLJJ,THIS IS THE STORY OF A GROUP OF BUTTERFLIES LOOKING FOR A PLACE TO SLEEP EACH ONE IS A DIFFERENT COLOR AND EACH PAIR OF FACING PAGES COLORCOORDINATED OF COURSE TELLS THE STORY OF WHERE EACH OF THE BUTTERFLIES FOUND TO SLEEP EACH OF THE BUTTERFLIES IS SHOWN AS A BRIGHTLYCOLORED FOILLOOKING TOY THAT YOUR LITTLE ONE WILL NOT BE ABLE TO RESIST TOUCHINGMY LITTLE ONE ABSOLUTELY LOVED THIS BOOK AND IT DID GO GREAT AS A PREPARING FOR SLEEP READ THE COLORS AND THE BUTTERFLIES AND THE CUTE STORY ALL WERE A HIT WE BOTH HIGHLY RECOMMEND THIS BOOK,PERFECT
A307YFSORUAXSQ,THIS BOOK IS ABSOLUTELY BEAUTIFUL A BRILLIANT BEDTIME STORY WITH VIBRANT COLORS AND GORGEOUS ILLUSTRATIONS EACH PAGE TEACHES A DIFFERENT COLOR AND THE ILLUSTRATIONS BOLDLY BURST WITH THAT COLOR IS HOW THE BOOK STARTS OFF AND WE ARE THEN LED ALL AROUND THIS COLOR DREAMLAND THE BUTTERFLIES IN THE BOOK ARE POPPED OUT AND SPARKLY AS WE TURN EACH PAGE THE COLOR BUTTERFLY WE ARE READING ABOUT DISAPPEARS EACH PAGE MENTIONS THE COLOR TWICE AND AN ANIMAL THE LAST PAGE REUNITES ALL THE BUTTERFLIES AND THE COLORFUL ANIMALS AS WE SAY GOODNIGHTMY DAUGHTER LOVED THIS BOOK SINCE SHE WAS MONTHS OLD THE COLORFUL ILLUSTRATIONS KEEP HER INTERESTED AND SHE LIKES TO GRAB AT THE POPPED UP BUTTERFLIES A DELIGHTFUL STORY I ENJOY READING AGAIN AND AGAIN I SOMETIMES EVEN READ IT TO MYSELF THE PURPLE PAGE IS MY FAVORITE,PERFECT
A2WNXS3CNAQS01,MY DAUGHTER YEAR OLD REALLY LIKES THIS BOOK I BOUGHT IT BECAUSE OF ITS SIMILARITY TO THE LITTLE LADYBUGS BOOK IT HAS THE SAME SORT OF COLORFUL ILLUSTRATIONS AND I LIKE IT BETTER AS THE LADYBUGS ARE NOT AS PRETTY AS THE SPARKLY BUTTERFLIES THIS BOOK TEACHES COLORS AS EACH OF THE BUTTERFLIES FINDS A PLACE TO STAY FOR THE NIGHTUPDATE MY DAUGHTER IS NOW WELL GROWN BUT THIS BOOK STICKS IN MY MIND STILL WE READ IT SO MANY TIMES I WOULD SAY IT WAS ONE OF HER VERY FAVORITES WHEN SHE WAS YOUNG,PERFECT
A13BMNAQ2K5LLN,FOR A NOVICE CAKE DECORATOR WHO GOT TALKED INTO MAKING HER SONS WEDDING CAKE WILTON MAKES LOVELY CAKE DECORATING ACCESSORIES TO HELP WITH EVERY STEP THIS BOOK GAVE ME SO MANY GREAT IDEAS AND WONDERFUL RECIPES AS WELL THIS CAKE HAD A SQUARE BASE SQ MIDDLE LAYER AND TOP LAYER ALL SET DEGREES FOR A FIRST WEDDING CAKE IT WAS AMAZING WITH WILTONS HELP THIS BOOK IS A MUST HAVE FOR NEWBIES LIKE ME,PERFECT
A3LHQ0LXICBLY2,I SHOULD NOT HAVE BOUGHT IT BECAUSE IT COMES FREE FROM MY CAKE DECORATING CLASS OH WELL AT LEAST I GAVE THE OTHER COPY TO MY SISTER,PERFECT
A39RRTO760KGOY,HAD NO IDEA ABOUT DECORATING CAKESBY THIS BOOKLET NOW I CAN SAY THAT FOLLOWING THE INSTRUCTIONS AND HAVE THE WILL AND PATIENCE PLUS PRACTICINGONE DAY I WONT BE ASHAMED OFMY CAKES I ADDED AN IMAGE OF A CAKE I MADE ACCORDING TO THIS BOOK LESSONS WHICH I ADVICE ANYONE WHO IS INTERESTED TO GET THIS BOOK,PERFECT
AZF13R8HNB59E,EXCELLENT BOOK SHIPPED ON TIME PACKAGED NICELY HELPFUL TIPS IN THE BOOK GOOD PRICE VERY GOOD EXPERIENCE VERY HAPPY WITH THE PRODUCT AND VENDOR,PERFECT
A1KCBA3PKLV2IT,I LOVED IT DONT USE IT MUCH BUT WHEN I HAD ITS BEEN USEFUL I RECOMMEND IT TO ALL WHO WANTS TO LEARN HOW TO DECORATE CAKES,PERFECT
A3JM7FVJMPJ1XD,SO I ACTUALLY BOUGHT THIS THINKING IT WAS THE ENTIRE LESSON KIT HOWEVER IVE FOUND THROUGH EXPERIENCE THAT HAVING THE BOOK WITHOUT HAVING TO TAKE THE CLASS IS A GOOD THING IVE TAKEN THE WILTON LESSON CLASS AND THE NUMBER OF WILTON ITEMS YOU HAVE TO PURCHASE ALONG WITH THE LESSON KIT IS A LITTLE RIDICULOUS IVE WORKED MY WAY THROUGH LESSON AND NOW IM WORKING MY WAY BY MYSELF THROUGH LESSON I RECOMMEND ANYONE THAT LIKES TO WORK ON THEIR OWN TIME TO JUST PURCHASE THIS BOOK,NOTPERFECT
A2S3ZE0RI9I60A,HELPFUL INFORMATION ON DECORAING BASICS GOOD BOOK FOR BEGINNERS WHO NEED STEP BY STEP INSTRUCTIONS AND GUIDANCE GOOD FOR ALL AGE GROUPS,NOTPERFECT
A33T8O72UNBVR,GOT THIS FOR MY GIRLFRIEND WHO RUNS A BAKING BUSINESS AND SHE SAID IT WAS HANDY TO HAVE FOR A REFERENCE BOOK SHE SAID IT IS HANDY TO HAVE WHEN THINKING OF DECORATING IDEAS,PERFECT
A1B9BZ3AJ5V1NJ,IM HOPING THAT I CAN LEARN HOW TO MAKE GUM PASTE FLOWERS TO PERFECTION FOR MY DAUGHTERS WEDDING AND MAYBE A FEW OTHER CAKES,PERFECT
A36DVGJ18JV1E0,THIS PAGE BOOK CONTAINS PICTURES AND PATTERNS FOR TIERED CAKES IT GIVES YOU INSTRUCTIONS ON HOW TO ASSEMBLE CAKES ON STANDS PILLARS OR STACKED CONSTRUCTION IT ALSO CONTAINS RECIPES FOR BASIC SCRATCH CAKES IN WHITE YELLOW CHOCOLATE STRAWBERRY AND BANANA IT ALSO HAS THE RECIPES FOR STANDARD WILTON ICINGS FILLINGS GLAZES FONDANT NOT THE TASTY MARSHMALLOW KIND COLOR FLOW GUM PASTE AND CANDY CLAY THERE ARE TIPS FOR BAKING LEVELING TORTING FILLING AND ICING THE CAKES IT ALSO GIVES SOME INSTRUCTION ON HOW TO COVER A CAKE WITH FONDANT THERE ARE SUGGESTIONS FOR TRANSPORTING TIERED CAKES CALCULATING SERVINGS PER CAKE AND CUTTING GUIDES THE BOOK ALSO INCLUDES PATTERNS AND INSTRUCTIONS FOR VARIOUS DECORATIONS AS WITH ALL WILTON BOOKS THE LAST FEW PAGES DETAIL PRODUCTS YOU CAN BUY FROM THEM TO DUPLICATE ALL THE DESIGNS IN THE BOOK THE PROBLEM IS THAT SOME OF THESE ITEMS DONT SEEM TO BE AVAILABLE ON THEIR WEB SITE ANY MORE THE BOOK WAS FIRST PUBLISHED IN STILL ITS A GREAT IDEA BOOK AND IM SURE YOU CAN FIND ACCEPTABLE SUBSTITUTES FOR A LOT OF THE ITEMS THE BOOK CONTAINS IDEAS FOR CAKES THAT COULD BE SERVED AT WEDDINGS ANNIVERSARIES AND SHOWERSALSO IM NOT SURE IF ITS OFFERED EVERYWHERE BUT IM CURRENTLY ENROLLED IN A CLASS TAUGHT BY A WILTON INSTRUCTOR CALLED TALL CAKES IT IS TAUGHT IN TWO SESSIONS THE FIRST CLASS IS A DEMONSTRATION BY THE INSTRUCTOR ON HOW TO PUT TOGETHER A TIERED CAKE THE SECOND CLASS IS WHERE WE BRING IN OUR OWN CAKES AND LEARN HOW TO STACK OR PILLAR THEM ITS LESS EXPENSIVE THAN THE OTHER CLASSES NO KIT IS REQUIRED AND THE ITEMS NEEDED ARE THIS BOOK ONE SIXINCH AND ONE TENINCH LAYER CAKE THE PLATEPILLARS AND OUR DECORATIONS ITS A GREAT WAY TO TOP OFF THE OTHER FOUR CLASSES,PERFECT
A2X4WC4ZRM0WTA,DIDNT REALLY CARE MANY OF THE CAKES AT ALL NOT UP TO NORMAL STANDING FOR WILTON YEARBOOKS OF THE PAST THE BEST CAKE IS ON THE COVER,NOTPERFECT
A2I5YZBMLU2R7O,I AM VERY HAPPY I PURCHASED THIS BOOK AS IT CONTAINES SO MUCH GREAT INFORMATION AND TIME SAVING TIPS I HIGHLY RECOMMEND,NOTPERFECT
A2V3IKHRC7C1IA,THIS BOOK ISNT MUCH HELP IF YOU ARE NOT TAKING THE WILTON CAKE DECORATING CLASSES YOU CAN GET THE BASICS BUT ITS REALLY JUST A VISUAL FOR THE CLASS,NOTPERFECT
A1LAAZUR8YFRW8,I HAVE ALWAYS WANTED TO LEARN HOW TO DECORATE A BEAUTIFUL CAKE AND I PURCHASED THIS GUIDEBOOK ALONG WITH THE WILTON PASTRY BAG KIT I APPRECIATE HOW THIS GUIDE GIVES TIPS ON HOW TO BAKE THE PERFECT CAKE AND ALSO GIVES DETAILED STEPBYSTEP INSTRUCTIONS ON HOW TO USE THE PASTRY BAG TO MAKE MANY DIFFERENT DESIGNS I DO HOWEVER AGREE THAT THIS BOOK DID APPEAR TO BE AN ADVERTISMENT FOR THIER PRODUCTS BUT THE GUIDE WAS HELPFUL NONETHELESS,NOTPERFECT
A6A6AR0XGSTXB,THIS LESSON PLAN IS PERFECT FOR A BEGINNER AND DEFINITELY HELPED INTRODUCE WORKING WITH FONDANT IN A USERFRIENDLY WAY THANKS WILTON,NOTPERFECT
A1N766HHWQOS1N,ANY PERSON THAT WISHES TO LEARN THE ART OF MAKING BEAUTIFUL REAL APPEARING FONDANTGUM PAST FLOWERS THIS IS THE BOOK FOR YOU I PROMISE YOUR FLOWERS WILL LOOK SO REAL THAT IT WILL SURPRISE PEOPLE EACH AND EVERY LITTLE HINT THAT HELPS YOU TO MAKE YOUR FLOWERS APPEAR REAL IS IN THIS BOOK YOU CANNOT GO WRONG WITH THIS BOOK YOU WILL FIND YOURSELF READING IT OVER AND OVER MAKIGN FLOWERS OVER AND OVER YOU WILL SEE THAT YOUR SELFESTEEM WILL ROAR PEOPLE COWORKERS FAMILY MEMBERS FRIENDS WILL BE DAZZLED AND AMAZED AND SO WILL YOU THIS LESSON BOOK IS EXTREMELY VALUABLE IT CANNOT BE PURCHASED FROM WILTON WHICH IS A REAL CRYING SHAME I THINK WILTON IS AFRAID THAT IF THEY SELL THE BOOK THEY WILL MISS OUT OF SELLING CLASSES BUT NOT SO I MYSELF TOOK CLASSES HAVING BAKESCOOKED SINCE THE AGE OF I REALLY DIDNT FEEL IT WAS NECESSARY BUT BOY WAS I SURPRISED I LEARNED MORE IN MY FIRST CLASS THAN I HAD IN YEARS OF TEACHING WILTON HONESTLY NEEDS TO SELL THESE LESSON PLANS NOT ONLY WILL RECEIVE MONEY FROM THE CLASSES BUT THEY WILL ALSO MAKE MONEY FROM THE BOOKS WHY WOULD A COMPANY PREFER THEIR CUSTOMERS BUY THEIR BOOKS FROM SOMEONE ELSE IVE NOT FIGURED THAT OUT GETTING BACK TO THIS LESSON BOOKYOU WILL BE EXTREMELY EXTREMELY HAPPY YOUR FAMILY WILL BRAG ON YOU YOUR INCOME WILL INCREASE FOR MAKING BEAUTIFUL LIVEAPPEARING FLOWERS THAT YOU SELL ON YOUR CAKES PLEASE TRY ITYOU CANNOT FAIL BEST BOOK EVER ON MAKING AND DECORATING FLOWERS,PERFECT
A2RCIF60HF8NYT,IT TOOK ME ABOUT MINUTES TO READ THIS LESSON PLAN THOROUGHLY WHILE IT IS INEXPENSIVE AT UNDER FIVE DOLLARS I STILL DONT KNOW IF THAT IS NECESSARILY A GOOD VALUE AS SOME REVIEWERS HAVE POINTED OUT MUCH OF THE BOOK FOCUSES ON ADVERTISING WILTON PRODUCTS WITHOUT ALL OF THIS THE USEFUL MATERIAL IN THE BOOK COULD HAVE BEEN CONDENSED DOWN TO A COUPLE OF PAGES I DID LIKE THE PHOTOGRAPHS AND THE TECHNIQUES FOR MAKING DIFFERENT CONSISTENCIES OF BUTTERCREAM FOR DIFFERENT USES I HAD INITIALLY PLANNED ON GETTING THE SUBSEQUENT LESSON PLANS AS WELL BUT I DONT THINK IT WILL BE WORTH IT IF YOU HAVE ANY SKILLEXPERIENCE WITH CAKE DECORATING AT ALL ID RECOMMEND SKIPPING THIS BOOK,NOTPERFECT
ATJ22NADXNLD9,I LOVE THIS BOOKLET IT IS LIGHT AND SLIM SO ITS EASY TO HAVE AROUND AND IT HAS GREAT PICS TO REFERENCE TO IN A HURRY,PERFECT
AFU78TXR52SOD,THIS DVD IS A MUST FOR ANY CAKE DECORATOR IT IS PRESENTED IN SHORT AND EASY TO UNDERSTAND SEGMENTS IT WORKS GREAT FOR THE BEGINNER OR AS A QUICK REFRESHER THE INSTRUCTOR DID AN OUTSTANDING JOB OF BOTH EXPLAINING AND DEMOSTRATING,PERFECT
A21H24R60CHCQS,I LOVED THE BOOK VERY COMPLETE DETAILED CLEAR INSTRUCTIONS AND EASY TO LEARN PROCEDURES IT IS A COMPREHENSIVE GUIDE USEFUL FOR SUCCESS IN THE ART OF PASTRY,PERFECT
AZ47G9E2U2T9L,THIS HAS CERTAINLY IMPROVED MY CAKE DECORATING KNOWLEDGE AS A PURE NOVICE I WILL NOW PURCHASE THE OTHER BOOKS SO I CAN LEARN MORE,PERFECT
A2GN7AZE8QLLVU,EVEN THIS IS THE ND COURSE IT IS EASY TO FOLLOW I LOVE THE RESULTS I DONT SELL CAKES BUT MAKE THEM FOR FRIENDS AND FAMILY THIS IS ONLY A HOBBY SO I DONT MAKE CAKES EVERYDAY I CAN PICK THIS BOOK UP AND FOLLOW THE DIRECTIONS AND GET GREAT RESULTS,PERFECT
A3C1PNYWYQAM65,FINALLY I AM TAKING THE THIRD AND MOST FUN WILTON CLASS AT MY LOCAL JOAN FABRIC STORE AND I AM LOVING THIS BOOK ONE LOOK AT THE COVER AND I WAS IN THIS BOOK EXPLAINS THE GUM PASTE AND FONDANT TECHNIQUES BEAUTIFULLY WITH VERY WELL PHOTOGRAPHED EXAMPLES I RECOMMEND THIS BOOK MOST HIGHLY WITH ITS INSPIRING AND EASYTOFOLLOW INSTRUCTIONS,PERFECT
AGR0MOEYP1EBX,THIS WILTON BOOK IS AWESOME MY LOCAL CRAFT SHOP DID NOT OFFER THE FONDANT COURSE WHEN I WANTED TO TAKE IT SO I DECIDED TO TEACH MYSELF I FOLLOWED THE LESSONS IN THE BOOK AND MY FONDANT CAKES HAVE IMPROVED GREATLY IN MY AREA THE WILTON METHOD INSTRUCTORS ARE NOT SO GREAT SO I AM HAPPY I WAS ABLE TO SAVE THE MONEY ON THE CLASS BUT STILL GET ALL OF THE WONDERFUL WILTON ADVICE I WOULD DEFINITELY RECOMMEND NOT ONLY BUYING THIS BOOK BUT SEEING HOW MUCH YOU CAN TEACH YOURSELF BEFORE SPENDING THE MONEY ON THE CLASS,PERFECT
A301O3AYBDXMTQ,THIS IS SO REMEDIAL BUY A WILTON MAGAZINE FOR LESS MONEY AND GET MORE IDEAS AND INSTRUCTIONS FOR YOUR INVESTMENT,NOTPERFECT
A3WH0FZKD9K94,A GOOD TOOL FOR HOME USE SHOWS SEVERAL TYPES OF SIMPLE EASY TO PERFORM TECHNIQUES WOULD RECOMMEND FOR BEGINNERS AND HOME BAKERS,NOTPERFECT
A3H8IE60X1L8ZY,PERFECT NOT BAD OF A BOOK I WOULD RECOMMEND THIS ITEM TO ANYONE WORKS GREAT FOR BAKING I WOULD BUY AGAIN,PERFECT
A2037NIGZSVPTQ,I GOT THIS FOR MY DAUGHTER IN LAW SHE LOVES IT IS SHOWS HOW TO USE ALL THE TOOLS IN THE KIT,PERFECT
A1MMOO9F6U6JQN,I BOUGHT THIS BOOK TO HELP ME OUT WITH DECORATING CAKES AND CUPCAKES AS A BEGINNER I HAVE FOUND THIS BOOK TO BE AN EXCELLENT REFERENCE FOR THE FIRST TIME DECORATOR I ENDED UP BUYING TWO DIFFERENT TIPS THAT DID NOT COME WITH MY CAKE DECORATING SET THAT I HAVE FOUND VERY USEFUL I BOUGHT THE CAKE CURVED SPATULAS FROM AMAZONTHAT WORK VERY WELL I ALSO BOUGHT THE BENCH KNIFE AND FOUND A CAKE LIFTER AND A CAKE LEVELER I GOT ALL THESE GREAT IDEAS FROM THIS BOOK I BOUGHT OTHER THINGS IN THE BOOK FROM AMAZON HOWEVER THE LIST GOES ON TOO LONG TO KEEP MENTIONING EVERYTHING BUY THE BOOK GREAT STARTER OUTER OH YES I ALWAYS TAKE A LOOK AT ALL OF THE GOOD AND NOT SO GOOD REVIEWS FOR EVERY PRODUCT I PURCHASE FROM AMAZONCOMSINCERELYSUPER CHEF DAVID,PERFECT
A2KA24GDB40DWI,THIS BOOK IS OKAY BUT I WAS EXPECTING A MUCH LARGER BOOK THAN THIS THIS BOOK IS THE SIZE OF MY HAND AND HARD TO SEE THE SMALL WRITING WHEN YOURE TRYING TO PREPARE AND READ IT AT THE SAME TIME,NOTPERFECT
A2CP4SK6TVPEV3,WONDERFUL TO HAVE A REFERENCE BOOK HANDY WITH STEPBYSTEP INSTRUCTIONS I USED WHEN I WAS COVERING MY FIRST CAKE IN FONDANT AND IT WAS SO EASY,PERFECT
A1RFEO61AGIRPR,MY YOUNGEST DAUGHTER REQUESTED THIS AS A GIFT SHE WAS VERY HAPPY WITH IT AND I MAY BUY ANOTHER ONE FOR MY MIDDLE DAUGHTER,PERFECT
A3LAL62WZP8DGU,I SAW THIS BOOK AT TARGET AND FLIPPED THROUGH IT I WAS AMAZED AT ALL THE IDEAS TO DO WITH A SIMPLE BROWNIE GRANTED WHAT I MAKE WONT EVER LOOK AS GOOD AS THE PICTURES IN THE BOOK BUT IM OKAY WITH THAT IF I HAD SAT DOWN AND THOUGHT ABOUT IT I MIGHT HAVE COME UP WITH SOME OF THESE SAME IDEAS BUT SOME OF THEM ARE REALLY CLEVER I HAVE HAD FUN LOOKING THROUGH THE BOOK WITH MY KIDS AND WE ARE MAKING BROWNIE POPS FOR MY SONS BDAY TREATS AT SCHOOL AND HIS PARTYPROS YOU CAN BUY MOST OF THESE SUPPLIES INCLUDING THE BOOK AT MICHAELS CRAFT SUPPLIES OR JOANNS AND LIKE I SAID I SAW THE BOOK AT TARGET WITH SOME OF THE MOLDS CREATIVE USES FOR BROWNIES GREAT WAY TO HAVE AN EASYTOMAKE BUT FUN TREATS FOR ALL SORTS OF OCCASIONS THERE ARE SUGGESTIONS FOR BDAYS SPORTS HOLIDAYS GIFTSCONS YOU NEED TO BUY THE MOLDS OR SUPPLIES TO MAKE ANY OF SPECIAL SHAPES SO ITS AN INVESTMENT UP FRONT ONCE YOU HAVE THEM ITS ALL ABOUT BROWNIE FUNI THINK THIS BOOK IS A GREAT RESOURCE OR A FUN GIFT FOR ANY PARENT OR PERSON WHO LIKES TO BAKE AND BE CREATIVE,NOTPERFECT
A28NC9XJ5NS4Z,CAKE DECORATING HAS ALWAYS BEEN A HOBY FOR ME THIS BOOK IS EXCELLENT FOR US SELF TAUGHT DECORATORS THE PICTURES AND HOWTO STEPS ARE GREAT,NOTPERFECT
A3AGRNRIIYZ1PV,I ORDERED THIS LESSON PLAN BECAUSE I TOOK THE FIRST TWO COURSES OF WILTONS CAKE DECORATING AND I DIDNT WANT TO SIGN UP FOR THE RD COURSE ONLY BECAUSE I DIDNT WANT TO SPEND SO MUCH MONEY FOR THE CLASSES SO I BOUGHT THE KIT IN MICHAELS FIGURING I WOULD TEACH MYSELF BUT THIS TIME THE LESSON PLAN WASNT INCLUDED IN KIT LIKE THE FIRST KITS WERE THIS LESSON PLAN IS GREAT AND IF YOU HAVE SOME EXPERIENCE WITH WORKING WITH FONDANT AND GUM PASTE THIS WILL BE A PIECE OF CAKE FOR YOU NO PUN INTENDED BUT THIS DEFINITELY ISNT FOR A BEGINNER,PERFECT
